Pengangguran Terbuka Menurut Pendidikan Tertinggi yang Ditamatkan 1986 - 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Pendidikan Tertinggi Yang Ditamatkan,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,,,,,,,,,,,,,,,,,,,,,Februari,November,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus,Februari,Agustus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tidak/belum pernah sekolah,52166,47944,41695,21424,36387,30354,24506,23104,36516,0,41516,27675,31779,31962,29010,278329,214740,352518,336027,342656,264458,234465,170666,145750,94301,79764,103206,60347,90471,59066,157586,93956,205388,126972,85374,112435,81432,134040,74898,124303,55554,94293,59346,92331,62984,43740,32315,36422,40771,35761,31379,20461,23905,24852,15206,42436,29148,13598,12651
2,Tidak/belum tamat SD,161626,155456,128880,108619,116095,90554,118318,92356,162386,0,171657,187769,223029,246538,192232,573097,653568,710354,668269,670055,673527,614960,611254,520316,438519,448431,443832,415955,547430,547164,600221,559661,737610,601753,512041,523400,489152,610574,389550,603194,371542,557418,384069,546897,404435,452326,328781,443495,347712,346778,428813,342734,431329,437819,663125,454305,344881,394364,361769
3,SD,371990,340684,343563,362478,345319,378716,377586,421822,702377,0,832125,759190,909479,1151252,1216976,1893565,2353330,2495928,2275281,2540977,2729915,2675459,2589699,2753548,2179792,2216748,2099968,2143747,1531671,1522465,1402858,1291733,1241882,1418683,1452047,1421873,1347555,1374822,1229652,1320392,1004961,1218954,1035731,1292234,904561,975661,908228,965641,865778,1006744,1410537,1219494,1393492,1230914,1274153,1218926,979668,857486,853738
4,SLTP,316344,269332,333506,331783,313481,359134,348089,356418,621563,0,776825,733911,983145,1159478,1367892,1786317,2146495,2458913,2690912,2680810,3151231,2860007,2730045,2643062,2264198,2166619,1973986,2054682,1770823,1657452,1661449,1834632,2138864,1736670,1714776,1821429,1689643,1693203,1566838,1650387,1373919,1313815,1294483,1281240,1274417,1265421,1142168,1235199,1137195,1251352,1621518,1515089,1604448,1460221,1500807,1445701,1246932,1154255,1091015
5,SLTA Umum/SMU,544090,611958,687929,717803,642881,662848,744383,748491,1208069,0,1358456,1398064,1616700,1891962,1894986,1881578,2138263,2435819,2441161,2680752,3069305,2842876,2851518,2630360,2532204,2204377,2403394,2133627,2472245,2111256,2149123,2385938,2376254,2043697,1867755,1874799,1925660,1893509,1962786,1762411,2280029,1546699,1950626,1552894,1910829,1672601,1945826,1690527,2008035,1748834,2662444,2305093,2472859,2251558,2478173,2216001,2514481,2107781,2293359
6,SLTA Kejuruan/SMK,297706,293708,385943,377631,337739,330827,362543,349988,597287,0,697782,699659,851902,994254,651369,1051912,1105867,1037103,1254343,1230750,1306770,1204140,1305190,1114675,1538349,1165582,1409128,1337586,1407226,1336881,1195192,1109511,1161362,1018465,1067009,864649,1258201,847365,1332521,1174366,1569690,1348327,1520549,1383022,1621402,1445340,1752241,1397281,1739625,1443522,2326599,2089137,2111338,1876661,1661492,1666493,1780095,1621672,1840162
7,Akademi/Diploma,41960,48328,55265,57413,59972,60778,62076,77183,137075,0,158376,141506,175417,243926,184690,251134,250426,202809,237251,322836,308522,297185,278074,330316,397191,519867,362683,486399,441100,538186,443222,469009,276816,258385,200028,197270,185103,195258,193517,254312,251541,249362,219736,249705,242937,304744,223456,274377,218954,267583,305261,254457,216024,235359,159490,191681,171897,173846,170527
8,Universitas,31790,52097,63937,61007,59926,78904,98520,129848,171659,0,238677,236197,253809,310947,276076,289099,269415,245857,348107,385418,395538,375601,395554,409890,566588,626202,598318,626621,701651,820020,710128,635442,543216,553206,445836,425042,434185,398298,495143,565402,653586,695304,567235,606939,618758,803624,740370,855854,746354,824912,981203,999543,848657,884769,673485,753732,787973,871860,842378
,Total,1817672,1819507,2040718,2038158,1911800,1992115,2136021,2199210,3636932,0,4275414,4183971,5045260,6030319,5813231,8005031,9132104,9939301,10251351,10854254,11899266,11104693,10932000,10547917,10011142,9427590,9394515,9258964,8962617,8592490,8319779,8379882,8681392,7757831,7344866,7240897,7410931,7147069,7244905,7454767,7560822,7024172,7031775,7005262,7005262,6963457,7073385,6898796,7104424,6925486,9767754,8746008,9102052,8402153,8425931,7989275,7855075,7194862,7465599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Februari,Agustus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SD ke bawah,1265448,1228158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SLTP,1154255,1091015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SLTA Umum/SMU,2107781,2293359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SLTA Kejuruan/SMK,1621672,1840162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Akademi/Diploma,173846,170527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Universitas,871860,842378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,7194862,7465599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data 2011-2013 menggunakan Backcast dari Penimbang Proyeksi Komponen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data 2018-2020 menggunakan Backcast dari Penimbang berbasis SUPAS 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986-1998, penghitungan tanpa data Provinsi Timor Timor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pada tahun 1995, Sakernas tidak dilaksanakan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pada tahun 2000, tanpa Maluku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumber: Survei Angkatan Kerja Nasional (Sakernas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
